===========================================================
172.24.220.87
evarts
Filesystem                       Size  Used Avail Use% Mounted on
charcot:/datos/charcot   3.6T  3.2T  272G  93% /misc/charcot
charcot:/datos/charcot2  1.8T  1.7T   65G  97% /misc/charcot2
ernst:/datos/ernst2      3.6T  486G  3.0T  14% /misc/ernst2
euler:/datos/euler       3.5T  2.8T  515G  85% /misc/euler
fourier:/datos/fourier   917G  639G  232G  74% /misc/fourier
fourier:/datos/fourier2  1.8T  773G  968G  45% /misc/fourier2
nyquist:/datos/nyquist   3.6T  3.3T  160G  96% /misc/nyquist
rabi:/datos/rabi         1.8T   63G  1.6T   4% /misc/rabi
tezca:/datos/tezca2      916G  848G   22G  98% /misc/tezca2
tmpfs                    3.2G   88K  3.2G   1% /run/user/1028
===========================================================
172.24.220.96
charcot
Filesystem                                                         Size  Used Avail Use% Mounted on
tmpfs                                                              5.9G  3.2M  5.9G   1% /run
/dev/sda2                                                          110G   95G  9.8G  91% /
tmpfs                                                               30G  9.4M   30G   1% /dev/shm
tmpfs                                                              5.0M  8.0K  5.0M   1% /run/lock
/dev/sdb1                                                          3.6T  3.2T  272G  93% /misc/charcot
/dev/sda1                                                          509M  6.1M  503M   2% /boot/efi
/dev/sdc1                                                          1.8T  1.7T   65G  97% /misc/charcot2
/dev/sda4                                                          183G  8.0M  173G   1% /tmp
hahn:/inb                                                          7.3T  1.1T  5.9T  15% /home/inb
tmpfs                                                              5.9G   92K  5.9G   1% /run/user/1249
tmpfs                                                              5.9G   92K  5.9G   1% /run/user/1045
tmpfs                                                              5.9G   92K  5.9G   1% /run/user/1171
tmpfs                                                              5.9G   92K  5.9G   1% /run/user/1083
tmpfs                                                              5.9G   92K  5.9G   1% /run/user/1028
rabi:/datos/rabi                                                   1.8T   63G  1.6T   4% /misc/rabi
labc12@172.24.80.83:/mnt/DroboFS/home/labc12/lgs/Eliseo_Dominguez   16T   12T  4.8T  71% /misc/charcot2/dominguezma/syno
tmpfs                                                              5.9G  664K  5.9G   1% /run/user/1180
tmpfs                                                              5.9G   96K  5.9G   1% /run/user/1234
ernst:/datos/ernst2                                                3.6T  486G  3.0T  14% /misc/ernst2
euler:/datos/euler                                                 3.5T  2.8T  515G  85% /misc/euler
fourier:/datos/fourier                                             917G  639G  232G  74% /misc/fourier
fourier:/datos/fourier2                                            1.8T  773G  968G  45% /misc/fourier2
copula:/datos/copula                                               3.6T  3.4T     0 100% /misc/copula
ernst:/datos/ernst                                                 1.8T  1.7T     0 100% /misc/ernst
jasper:/datos/jasper                                               1.8T  1.4T  303G  83% /misc/jasper
tanner:/datos/tanner                                               2.7T  282G  2.3T  11% /misc/tanner
tezca:/datos/tezca                                                 1.8T  1.6T  196G  89% /misc/tezca
tezca:/datos/tezca2                                                916G  848G   22G  98% /misc/tezca2
tournoux:/datos/tournoux                                           1.8T  1.7T   35G  99% /misc/tournoux
sherrington:/datos/sherrington2                                    1.8T  1.3T  476G  73% /misc/sherrington2
